Category;Ellert AI Function;Original Name (if different);Type of input;Original Plug/Wire Name;Original Pin No;Arduino Due Pin no;Pin Type;Voltage Level (Expected at Arduino Pin after conditioning);Notes/Considerations
INPUT;Ignition - Key ON;Indication from Key;On/Off;J12;1;D23;Digital;3.3V;Requires voltage divider from 12V. Debounce. (This is ON/RUN)
INPUT;Ignition - ACC (if separate);Zündschloss ACC;On/Off;N/A - To Be Wired;N/A;D22;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Ignition - START (if used);Zündschloss START;On/Off;N/A - To Be Wired;N/A;D24;Digital;3.3V;Requires voltage divider from 12V. Debounce. EV might not have traditional 'start'.
INPUT;Brake Pedal Switch;Bremspedal;On/Off;N/A - Switch Input;N/A;D25;Digital;3.3V;CRITICAL! Requires voltage divider from 12V. Debounce.
INPUT;Handbrake Switch;Handbremse;On/Off;N/A - Switch Input;N/A;D26;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Accelerator Pedal;Fahrpedal;Analog;N/A - Sensor Input;N/A;A0;Analog;0-3.3V;Ensure sensor output is 0-3.3V or use divider.
INPUT;Gear - Park;PARK;On/Off;Gear Ny;1;D27;Digital;3.3V;From Gear Ny connector. Debounce.
INPUT;Gear - Reverse;REVERSE;On/Off;Gear Ny;3;D28;Digital;3.3V;From Gear Ny connector. Debounce.
INPUT;Gear - Neutral;NEUTRAL;On/Off;N/A - To Be Wired;N/A;D29;Digital;3.3V;If Neutral is a separate switch. Debounce.
INPUT;Gear - Drive;DRIVE;On/Off;Gear Ny;2;D30;Digital;3.3V;From Gear Ny connector. Debounce.
INPUT;Indicator Stalk - Left;blink venstre;On/Off;J10;3;D31;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Indicator Stalk - Right;blink højre;On/Off;J10;2;D32;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Lights Stalk - Parking;Normal lights (related);On/Off;J15;10;D33;Digital;3.3V;User Panel 'Normal lights'. Stalk might be separate. Debounce.
INPUT;Lights Stalk - Headlights;Normal lights (related);On/Off;J15;10;D34;Digital;3.3V;User Panel 'Normal lights'. Stalk might be separate. Debounce.
INPUT;High Beam Switch (Stalk);High Beam - Temporary;On/Off;J10;6;D35;Digital;3.3V;Requires voltage divider from 12V. Debounce. (Flash-to-pass)
INPUT;Hazard Lights Switch;Warnblinker;On/Off;N/A - Switch Input;N/A;D36;Digital;3.3V;If dedicated switch. Requires voltage divider. Debounce.
INPUT;Wiper Stalk - Low;Scheibenwischer Stufe 1;On/Off;N/A - Switch Input;N/A;D37;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Wiper Stalk - High;Scheibenwischer Stufe 2;On/Off;N/A - Switch Input;N/A;D38;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Wiper Stalk - Intermittent;Scheibenwischer Intervall;On/Off;N/A - Switch Input;N/A;D39;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Windscreen Washer Switch;Scheibenwaschanlage;On/Off;N/A - Switch Input;N/A;D40;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Horn Button (from stalk);horn;On/Off;J10;1;D41;Digital;3.3V;Requires voltage divider from 12V. Debounce.
INPUT;Heater Switch - Element 1;A/C Vent + Heat 1 (related);On/Off;J15;5;D42;Digital;3.3V;User Panel. Debounce.
INPUT;Heater Switch - Element 2;A/C Vent + Heat 1 + Heat 2 (related);On/Off;J15;6;D43;Digital;3.3V;User Panel. Debounce.
INPUT;Heater Fan Switch - Low;A/C Vent Only (related to Vent);On/Off;J15;4;D44;Digital;3.3V;User Panel. Debounce. Controls Fan Relay 1.
